,content,id,lat,location,lon,time,user,user_id
1791,RT @pokemyeyesout: Well we thank you!!!! The Fake president @realDonaldTrump and his Trumpanzees and Traitor Tots - need more people to sta…,971523676293169152,,Other Location in MA,,2018-03-07 23:11:09,lynnepelletierc,549546684
1792,"Yes ! RT @KaylaFoxCT: @WOCProviders Enough of me can satiate the insatiable...... 
https://t.co/jaTYkX1o8F 
Kayla@k… https://t.co/m0NdRbPNHo",971523673587843072,,"Boston, MA",,2018-03-07 23:11:08,fantasymikeinma,68472170
1793,"RT @Ben__Nadeau: “I was the first one at practice, the last one to leave the arena. I tried to work hard every day and tried to use the tim…",971523672652394496,,Other Location in US,,2018-03-07 23:11:08,Ben_Dowsett,541162159
1794,Hey @NHL what the fuck is wrong with your Suspension policy give david backes a break this is his 1st offence just… https://t.co/Kcyt4zYXw9,971523671515856896,,"Boston, MA",,2018-03-07 23:11:07,Jonathansandle3,923356246526263296
1795,"unprecedented, mcdonald's is finally sponsored by wumbologists

https://t.co/9Ef6aAY8hD",971523669284605952,,"Boston, MA",,2018-03-07 23:11:07,TheRealQNS,715678762277294080
1796,#Hockey is murder on ice.,971523668529393664,,"Boston, MA",,2018-03-07 23:11:07,IceHockeySkills,2464610155
1798,RT @ZeohBleu3: Please give me pussy Twitter is hilarious dawg https://t.co/YIB9Yi0UE2,971523665857777664,,Other Location,,2018-03-07 23:11:06,ParagonOfChill,1424165232
1801,@Si_Yacino @DerrarB Allahuakbar,971523659931312128,,Other Location in MA,,2018-03-07 23:11:05,younestouati7,2879212528
1802,NO ONE is outside,971523659901947904,,"Boston, MA",,2018-03-07 23:11:05,TENERlFETAYLOR,917467518960328704
1804,@wamie10 European cut/style...little more snug.... which I prefer to this look...but thank U for watching!!! https://t.co/5Y1XmWU5kc,971523658442264576,,"Boston, MA",,2018-03-07 23:11:04,jreineron7,24955599
1805,"RT @Modern_MD: @sacjai shares the future of healthcare delivery + lessons for leaders https://t.co/THLq86W4yR
1) Inspire others daily; 
2)…",971523658383536128,,Other Location in US,,2018-03-07 23:11:04,YaleRadsBiz,890349654302445568
1807,Oh my gosh! @timmyopug you’re even more famous now! #goals https://t.co/Ffc9Quk6MW,971523656156315648,,"Boston, MA",,2018-03-07 23:11:04,WoofWellington,515953185
1808,RT @MikePanoots: https://t.co/mesO2VP9RJ,971523655627919360,,Other Location,,2018-03-07 23:11:04,ShinChie56798,3472874843
1809,RT @markmajewski: Let's GOOOOOOO. (👀 @CUJeffKallin @Jonathan_Gantt @nikconklin...) #EAGS https://t.co/sX9czI91wV,971523655065853952,,Other Location,,2018-03-07 23:11:04,ClemsonEditz_,2721929333
181,Chris Brown just dropped a 45-track album that went platinum. Please explain what type of “help” this man needs? https://t.co/QATAKEm0yr,971525268786511872,,"Boston, MA",,2018-03-07 23:17:28,benpofficial,955354824299737088
1810,"RT @ecccoautist: at this point the american altright is starting to feel like a cult, the wigger nationalist equivalent of scientology but…",971523654709374976,,Other Location,,2018-03-07 23:11:03,krazytwitts123,2284272140
1813,the grind is Real  #famtyze  #wantmore #entrepreneur #parksidepaperz#owner @Famtyze_ent… https://t.co/NVeoVBrwsC,971523651324579840,,"Boston, MA",,2018-03-07 23:11:03,Parksidepaperz1,217888109
1814,Onesie painting missing is a success! I think I’m going to go in tomorrow and add some more… https://t.co/Blg4VaxvLC,971523648543576064,,"Boston, MA",,2018-03-07 23:11:02,katelai47,28911648
1815,A good day w/ Sasha https://t.co/aoOB3FZ9wG,971523648224980992,,"Boston, MA",,2018-03-07 23:11:02,katmonteiro_,422714497
1817,@bostonradio Bigger than anticipated...yeah looks it.  My street is completely snow free.  What a whopper.,971523644886220800,,"Boston, MA",,2018-03-07 23:11:01,BillsTVTalk,30244706
1818,A doctor without health insurance? What could go wrong? https://t.co/93qyf7hxs1 via @statnews,971523643271499776,,"Boston, MA",,2018-03-07 23:11:01,ellenoffner,2267642106
1819,DeVos talks innovation at @SXSWEDU https://t.co/YrZBdjtKbJ,971523642969518080,,"Boston, MA",,2018-03-07 23:11:01,teachplus,123310100
182,RT @BoucherMitch: It doesn't matter what I'm listening to on YouTube the next song is always Africa by Toto,971525268748857344,,Other Location,,2018-03-07 23:17:28,Magic_Star20,2824402120
1820,I added a video to a @YouTube playlist https://t.co/ZBKfRBacnX Thrilling one Way - Aqours,971523642814291968,,Other Location in MA,,2018-03-07 23:11:01,EpicChameleon,2610969914
1822,RT @celtics: 1️⃣0️⃣k 👊 Congrats @al_horford! https://t.co/XJYoLld8u1,971523642399084544,,Other Location,,2018-03-07 23:11:01,frias2609,128100889
1824,Presto at Netflix for ad-hoc interactive SQL analytics https://t.co/4Dkh6IlIfU,971523640171814912,,"Boston, MA",,2018-03-07 23:11:00,starburstdata,925124076666007552
1826,"RT @Kris_Marie7: Filmed a video and edited two, wrote a book review and 3 blog posts down... that's a productive day",971523639098200064,,Other Location in US,,2018-03-07 23:11:00,gigisreads,947214007747964928
